file_path,Function,method_loc,cyclomatic_compl,Parameters,file_loc
stimuli/clean/fast-excel/ModelBuildEventListener_buildUserModel.java,ModelBuildEventListener::buildUserModel,42,8,3,150
stimuli/clean/fast-excel/ExcelWriteHeadProperty_headCellRangeList.java,ExcelWriteHeadProperty::headCellRangeList,48,13,0,123
stimuli/clean/fast-excel/DimensionWorkbookWriteHandler_afterWorkbookDispose.java,DimensionWorkbookWriteHandler::afterWorkbookDispose,45,14,1,66
stimuli/clean/fast-excel/ExcelWriteFillExecutor_doFill.java,ExcelWriteFillExecutor::doFill,96,17,4,532
stimuli/clean/fast-excel/AbstractExcelWriteExecutor_fillComment.java,AbstractExcelWriteExecutor::fillComment,46,5,2,295
stimuli/clean/fast-excel/ExcelAnalyserImpl_finish.java,crypto::finish,63,22,0,205
stimuli/clean/fast-excel/WriteWorkbookHolder_createCellStyle.java,WriteWorkbookHolder::createCellStyle,45,11,3,243
stimuli/clean/fast-excel/AbstractWriteHolder_buildChain.java,AbstractWriteHolder::buildChain,55,16,2,408
stimuli/clean/fast-excel/ExcelAnalyserImpl_chooseExcelExecutor.java,crypto::chooseExcelExecutor,46,7,1,205
stimuli/clean/spring-ai-alibaba/HttpNode_initBody.java,HttpNode::initBody,75,15,3,611
stimuli/clean/spring-ai-alibaba/McpNode_apply.java,McpNode::apply,61,14,1,171
stimuli/clean/spring-ai-alibaba/ObservableToolCallingManager_executeToolCall.java,ObservableToolCallingManager::executeToolCall,49,7,3,233
stimuli/clean/spring-ai-alibaba/DiagramGenerator_generate.java,Context::generate,66,10,3,147
stimuli/clean/spring-ai-alibaba/MongoSaver_put.java,MongoSaver::put,62,6,2,207
stimuli/clean/spring-ai-alibaba/DashScopeApi_upsertPipeline.java,DocumentRetrieveResponse::upsertPipeline,62,9,2,960
stimuli/clean/spring-ai-alibaba/DashScopeChatModel_createRequest.java,DashScopeChatModel::createRequest,50,9,2,454
stimuli/clean/spring-ai-alibaba/DashScopeDocumentRetrievalAdvisor_after.java,DashScopeDocumentRetrievalAdvisor::after,46,9,2,157
